Donor,codename
ACT Alliance / Diakonie Katastrophenhilfe,NGOs
Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),NGOs
Rahma International Society,NGOs
International Relief Teams,NGOs
Solidarités International,NGOs
Humanitarian Relief Society,NGOs
Kuwait Patients Helping Fund,NGOs
Thani Bin Abdullah Bin Thani Al-Thani Humanitarian Fund,foundations
Kuwait Zakat House,NDD
Danish Emergency Relief Fund,DAC governments
Children on the Edge,NGOs
Global Partnership for Education,foundations
Kuwait Awqaf General Secretariat,NDD
Street Child Organization,NGOs
UNICEF Brazil,UN Multi
IOM Development Fund,foundations
Première Urgence Internationale,NGOs
Wellspring International,foundations
Nous Cims,foundations
Federation Internationale de Football Association (FIFA),foundations
Colombia Post-Conflict UN MPTF,UN Multi
Fondation Chanel,foundations
Frantz Hoffman Foundation,foundations
Stichting War Child,NGOs
Base Net Organization,NGOs
Ayuda en Acción,NGOs
Secours Catholique - Caritas France,NGOs
Windy International Youth Foundation,NGOs
Perry Ellis International,private sector corporations
International Programme for the Development of Communication,UN Multi
International Criminal Police Organization - INTERPOL,Other multi
International Relief Solutions LLC,private sector corporations
Sphene International Ltd,private sector corporations
International Paper,private sector corporations
UNICEF National Committee/Malaysia,UN Multi
Air Serv International,NGOs
Solidarités International (SI),NGOs
Leopold Bachmann Foundation,foundations
Isle of Man,NDD
Hilti Foundation,foundations
Union of Relief Organizations - Lebanon,NGOs
Disasters Emergency Committee Cyclone Idai,foundations
Grupo de Apoio í  Criança (GAC),NGOs
The Pacific Community (former South Pacific Commission),Other multi
The Resource Foundation,foundations
TechnipFMC,private sector corporations
South32,private sector corporations
OCP AFRICA,private sector corporations
IMPACT Initiatives,academia/think/research
Global Center on Cooperative Security,NGOs
Fondation Assistance Internationale,foundations
Gaddafi International Charity and Development Foundation (GICDF),NGOs
BRAC,NGOs
International Development and Relief Foundation,NGOs
Médicos del Mundo Spain,NGOs
The Israel Forum for International Humanitarian Aid,other
"National Lottery Community Fund, the UK",DAC governments
United States Agency for International Development,DAC governments
African Humanitarian Corps,NGOs
Fundación Entreculturas - Fe y Alegrí­a,NGOs
Misean Cara,NGOs
Crown Agents,NGOs
United Nations Mission in South Sudan,UN Multi
UK Jesuit Missions,NGOs
Spanish Jesuit Missions,NGOs
Bündnis Entwicklung Hilft,NGOs
War Child,NGOs
UNITED NATIONS - AFRICAN UNION HYBRID OPERATION IN DARFUR,UN Multi
Syria Cross-border Humanitarian Fund,CBPF
Swasia Charity Foundation,NGOs
Syrian American Medical Society Foundation,NGOs
Bolton Group,private sector corporations
CanDO Transforming Humanitarian Action,foundations
Syria Relief and Development Organization (Sosyal Refah DerneÄŸÄ±),NGOs
"BlackRock, Inc.",private sector corporations
Humanitarian Grand Challenge,Other multi
Doctors of the World Turkey ( Dünya DoktorlarÄ± DerneÄŸi ),NGOs
UNICEF National Committee/Chile,UN Multi
Hands Up Foundation,foundations
"Episcopal Conference, Peru",academia/think/research
Imperial College,academia/think/research
IDRC,academia/think/research
Monterey Institute of International Studies,academia/think/research
First Moscow Gymnasium,academia/think/research
Swiss Academy of Development,academia/think/research
"Sunnaas sykehus HF, Forskningsavdelingen",academia/think/research
DIOTIMA Centre of research on Women's Issues,academia/think/research
AABO AKADEMI UNIVERSITY,academia/think/research
Abo Akademi University,academia/think/research
Abt Associates,academia/think/research
Academy Charity Teaching Hospital,academia/think/research
Academy for Educational Development,academia/think/research
Afghan Research and Evaluation Unit,academia/think/research
Agricultural Research Corporation,academia/think/research
American Institutes for Research,academia/think/research
AMMAN CENTER HUMAN RIGHTS STUDIES,academia/think/research
Applied Research Institute Jerusalem,academia/think/research
AREU - Afghan Research and Evaluation Unit,academia/think/research
Award,academia/think/research
Berne University,academia/think/research
BGR - German Federal Institute for Geosciences and Natural Resources ,academia/think/research
Bjerknes Centre for Climate Research,academia/think/research
B'Tselem - the Israeli Information Center for Human Rights in the Occupied Territories,academia/think/research
Burnet Institute,academia/think/research
Carl Duisberg Gesellschaft,academia/think/research
CDE - University Berne,academia/think/research
CEDI,academia/think/research
Center for  Civil Military Relations,academia/think/research
Center for Applied Linguistics,academia/think/research
Center for Culture and Development,academia/think/research
Center for Disease Control and Prevention,academia/think/research
Center for Research on the Epidemiology of Disasters,academia/think/research
Center for Women’s Legal Research and Consulting,academia/think/research
