Recipient.Organization,deliverychannels
University of Maryland Eastern Shore,Other
The New Humanitarian (formerly Integrated Regional Information Network),Other
University of Applied Sciences Northwestern Switzerland (Fachhochschule Nordwestschweiz FHNW),Other
Universidad Central de Las Villas,Other
American Academy of Pediatrics,Other
Al-Jamia Saadatul Uloom Trust,Other
Jamia Darussalam,Other
Rural Health Services,Other
Syria Cross-border Humanitarian Fund,UN Multi
Uganda ERF (until 2010),UN Multi
Disasters Emergency Committee Cyclone Idai,UN Multi
Danish Emergency Relief Fund,Public Sector
"Syria Resilience Consortium (CARE, DRC, HI, IRC, NRC & Mercy Corps)",Public Sector
European Commission - EU Facility for Refugees in Turkey,Public Sector
Education Cannot Wait Fund,Other
Sebil Insani Yardim Dernegi,Other
Green Belt Initiative,Other
"Charity Foundation ""Lona""",Other
Al Sham Humanitarian Foundation,Other
Abyan Youth Foundation,Other
Selah Foundation for Development,Other
Kiribati,Public Sector
Humanitarian Advisory Group,NGOs and CSOs
Waqf Alrahma Alkhairi,NGOs and CSOs
American Refugee Committee (Alight),NGOs and CSOs
MÈdicos del Mundo Spain,NGOs and CSOs
ACT Alliance / Diakonie Katastrophenhilfe,NGOs and CSOs
International Action Network on Small Arms,NGOs and CSOs
Secours Catholique - Caritas France,NGOs and CSOs
HealthNet International Transcultural Psychosocial Organization,NGOs and CSOs
World Vision Afghanistan,NGOs and CSOs
AÌèNA (Afghanistan),NGOs and CSOs
International Human Rights Law Group,NGOs and CSOs
Children in Crisis,NGOs and CSOs
Welfare Association for the Development of Afghanistan,NGOs and CSOs
Mine Clearance and Planning Agency | HALO Trust,NGOs and CSOs
HALO Trust | Organisation for Mine Awareness and Reconstruction,NGOs and CSOs
Afghan Women's Educational Center,NGOs and CSOs
Medici con l'Africa CUAMM,NGOs and CSOs
BRAC,NGOs and CSOs
COAST Trust,NGOs and CSOs
World Vision Bangladesh,NGOs and CSOs
Mukti Cox's Bazar,NGOs and CSOs
Rahma International Society,NGOs and CSOs
Ayuda en AcciÛn,NGOs and CSOs
Caritas Brazil,NGOs and CSOs
HOPEí87 - Hundreds of Original Projects for Employment,NGOs and CSOs
Transcultural Psychosocial Organization,NGOs and CSOs
Netherlands Development Organisation,NGOs and CSOs
Caritas ComitÈ DiocÈsain de DÈveloppement Maroua-Mokolo,NGOs and CSOs
African Relief Service (Central African Republic),NGOs and CSOs
EspÈrance,NGOs and CSOs
Invisible Children,NGOs and CSOs
Caritas Centrafricaine - Bouar,NGOs and CSOs
Women Act for Living Together,NGOs and CSOs
Africa Development Initiative,NGOs and CSOs
All for Peace And Dignity,NGOs and CSOs
Association pour la Promotion de la Culture,NGOs and CSOs
Afrique Secours Assistance,NGOs and CSOs
CoopÈrative de Production Agricole et Artisanale pour le DÈveloppement du Monde Rural,NGOs and CSOs
Kode ti kwa,NGOs and CSOs
Genre Paix et Developement,NGOs and CSOs
Maison Prisca,NGOs and CSOs
Agir en Centrafrique,NGOs and CSOs
Association Help -Tchad pour le dÈveloppement,NGOs and CSOs
TECHO,NGOs and CSOs
China Centre for Disease Control and ¬†Asia-Australia Mental Health,NGOs and CSOs
Associazione Italiana per la SolidarietÌ† tra I Popoli,NGOs and CSOs
FederaciÛn Internacional Fe y AlegrÌ≠a,NGOs and CSOs
Pro Familia Switzerland,NGOs and CSOs
Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),NGOs and CSOs
Association des Jeunes Islamiques pour le DÈveloppement,NGOs and CSOs
Bureau des ‡uvres mÈdicales diocÈsaines (BDOM),NGOs and CSOs
ComitÈ díAppui Ì† líAuto Promotion,NGOs and CSOs
Synergie pour la lutte antimines,NGOs and CSOs
Federation des ONG laiques Ì† Vocation Economique du Congo,NGOs and CSOs
CARITAS DEVELOPPEMENT MAHAGI-NIOKA,NGOs and CSOs
Actions pour le DÈveloppement IntÈgral par la Conservation Communautaire,NGOs and CSOs
Caritas Kasongo,NGOs and CSOs
Action des Volontaires Unis pour le DÈveloppement et la SantÈ,NGOs and CSOs
Action pour la Promotion de líEnvironnement Social,NGOs and CSOs
Help a Child International (Red een Kind),NGOs and CSOs
MÈdicos del Mundo Argentina,NGOs and CSOs
Di·logo Diverso,NGOs and CSOs
Arab Organization for Human Rights,NGOs and CSOs
Fondazione ‚ÄúOpera San Francesco Saverio‚Äù CUAMM,NGOs and CSOs
A Call to Serve International,NGOs and CSOs
Al Diaa Humanitarian Association,NGOs and CSOs
KSPM-ERP Integration Centre for Migrant Workers - Ecumenical Refugee Program,NGOs and CSOs
METAdrasi - Action for Migration and Development,NGOs and CSOs
"Planned Parenthood Federation, International",NGOs and CSOs
Holt International Childrens Services,NGOs and CSOs
Cross International Cathoilc Outreach,NGOs and CSOs
Nos Petits FrËres et S‡urs - Haiti,NGOs and CSOs
Esperanza International Foundation,NGOs and CSOs
International Lifeline Fund,NGOs and CSOs
International Movement ATD Fourth World,NGOs and CSOs
Family Health International - FHI 360,NGOs and CSOs
Manitoba Council for International Co-operation,NGOs and CSOs
Aide Ì† l'Enfance de Canada,NGOs and CSOs
Forward Edge International,NGOs and CSOs
AS-SALAM EDUCATIONAL CENTRE,NGOs and CSOs
Markazu Ihyail Fikril Islami Institute,NGOs and CSOs
Aide Ì† l''Enfance de l''Inde,NGOs and CSOs
Moulana Ali Miyan Nadwi Educational and Charitable Trust,NGOs and CSOs
Jamia Islamia Ishaatul Uloom,NGOs and CSOs
Madeenathul-uloom Educational And Charitable Trust,NGOs and CSOs
Guidance Educational And Welfare Society,NGOs and CSOs
Faisal Educational Society,NGOs and CSOs
WeWorld Onlus,NGOs and CSOs
Khanpur Azad Gram Unnayan Samity,NGOs and CSOs
Central Board of Nahdlatul Ulama,NGOs and CSOs
Terre des Hommes International | Terre des Hommes - Italy,NGOs and CSOs
International Academy for Leadership and Development (IALD),NGOs and CSOs
Women Rehabilitation Organization,NGOs and CSOs
Action Contre la Faim | ACF - France,NGOs and CSOs
