Recipient.Organization,recipientcodename
Humanitarian Advisory Group,NGOs
UN Agencies | NGOs | Red Cross Organizations,Undefined
UN Agencies | Red Cross Organizations | NGOs,Undefined
UN Office for Disaster Risk Reduction (formerly UNISDR),UN Multi
University of Maryland Eastern Shore,academia/think/research
PALLADIUM INTERNATIONAL PTY LTD,private sector corporations
Danish Emergency Relief Fund,DAC governments
"Tetra Tech, Inc.",private sector corporations
The Association for Specialist Fire Protection (ASFP),private sector corporations
The New Humanitarian (formerly Integrated Regional Information Network),academia/think/research
Red Cross Organizations | NGOs | UN Agencies,Undefined
NGOs | UN Agencies | Red Cross Organizations,Undefined
Red Cross Organizations | UN Agencies | NGOs,Undefined
Education Cannot Wait Fund,foundations
Waqf Alrahma Alkhairi,NGOs
American Refugee Committee (Alight),NGOs
MÈdicos del Mundo Spain,NGOs
ACT Alliance / Diakonie Katastrophenhilfe,NGOs
International Action Network on Small Arms,NGOs
Real Relief,private sector corporations
University of Applied Sciences Northwestern Switzerland (Fachhochschule Nordwestschweiz FHNW),academia/think/research
UN Agencies | NGOs,Undefined
Universidad Central de Las Villas,academia/think/research
Secours Catholique - Caritas France,NGOs
HealthNet International Transcultural Psychosocial Organization,NGOs
World Vision Afghanistan,NGOs
AÌèNA (Afghanistan),NGOs
International Human Rights Law Group,NGOs
Children in Crisis,NGOs
Welfare Association for the Development of Afghanistan,NGOs
Mine Clearance and Planning Agency | HALO Trust,NGOs
HALO Trust | Organisation for Mine Awareness and Reconstruction,NGOs
Afghan Women's Educational Center,NGOs
Medici con l'Africa CUAMM,NGOs
BRAC,NGOs
COAST Trust,NGOs
World Vision Bangladesh,NGOs
Mukti Cox's Bazar,NGOs
Rahma International Society,NGOs
Agency for Technical Cooperation and Development | Concern Worldwide | Deutsche Welthungerhilfe e.V. (German Agro Action),other
Benin Red Cross Society,red cross
Ayuda en AcciÛn,NGOs
Islamic Committee of the International Crescent,Other multi
Caritas Brazil,NGOs
HOPEí87 - Hundreds of Original Projects for Employment,NGOs
Transcultural Psychosocial Organization,NGOs
Netherlands Development Organisation,NGOs
Caritas ComitÈ DiocÈsain de DÈveloppement Maroua-Mokolo,NGOs
African Relief Service (Central African Republic),NGOs
EspÈrance,NGOs
Centre spÈcialisÈ d'appui Ì† la promotion et Ì† la modernisation de l'ÈlÈvage,Undefined
Invisible Children,NGOs
Caritas Centrafricaine - Bouar,NGOs
Women Act for Living Together,NGOs
Africa Development Initiative,NGOs
All for Peace And Dignity,NGOs
Association pour la Promotion de la Culture,NGOs
Afrique Secours Assistance,NGOs
CoopÈrative de Production Agricole et Artisanale pour le DÈveloppement du Monde Rural,NGOs
Kode ti kwa,NGOs
Genre Paix et Developement,NGOs
Maison Prisca,NGOs
Agir en Centrafrique,NGOs
Croix-Rouge du Tchad,red cross
Association Help -Tchad pour le dÈveloppement,NGOs
TECHO,NGOs
International Telecommunications Union,UN Multi
