Destination.Country,incomegroups
Curaçao,high
Greece,high
Switzerland,high
"Venezuela, Bolivarian Republic of",high
"Taiwan, Province of China",high
"Korea, Republic of",high
Uruguay,high
Italy,high
Israel,high
Croatia,high
Canada,high
Netherlands,high
Portugal,high
Bahamas,high
Malta,high
Belgium,high
United Arab Emirates,high
Slovenia,high
Denmark,high
Chile,high
Antigua and Barbuda,high
Argentina,high
Russian Federation,high
Germany,high
Ireland,high
Anguilla (United Kingdom) | Antigua and Barbuda | Saint Barth�lemy (France),high
Barbados,high
Sint Maarten (Dutch part),high
Antigua and Barbuda | Bahamas | Sint Maarten (Dutch part),high
Saint Martin (France),high
Saint Kitts and Nevis,high
Antigua and Barbuda | Bahamas | Saint Kitts and Nevis | Sint Maarten (Dutch part),high
"Anguilla (United Kingdom) | Antigua and Barbuda | Bahamas | Saint Barth�lemy (France) | Saint Kitts and Nevis | Saint Martin (France) | Sint Maarten (Dutch part) | Turks and Caicos Islands | Virgin Islands, British",high
Antigua and Barbuda | Saint Kitts and Nevis,high
Puerto Rico (United States),high
Sweden,high
Qatar,high
United States,high
Poland,high
Trinidad and Tobago,high
Japan,high
Anguilla (United Kingdom),High
Estonia,high
Aruba,high
Andorra,high
Australia,high
Austria,high
Bahrain,high
Bermuda,high
Brunei Darussalam,high
Cayman Islands,high
Channel Islands,high
Curacao,high
Cyprus,high
Czech Republic,high
Equatorial Guinea,high
Faeroe Islands,high
Finland,high
France,high
French Polynesia,high
Greenland,high
Guam,high
Hong Kong Special Administrative Region of the People's Republic of China,high
Hungary,high
Iceland,high
Isle of Man,high
Kuwait,high
Latvia,high
Liechtenstein,high
Lithuania,high
Luxembourg,high
"Macao SAR, China",high
Monaco,high
New Caledonia,high
New Zealand,high
Northern Mariana Islands,high
Norway,high
Oman,high
Puerto Rico,high
San Marino,high
Saudi Arabia (Kingdom of),high
Seychelles,high
Singapore,high
Slovakia,high
Spain,high
St. Martin (French part),high
Chinese Taipei,high
Turks and Caicos Islands,high
United Kingdom ,high
United States of America,high
Venezuela,high
Virgin Islands (U.S.),high
United Kingdom,high
Saudi Arabia,high
Montserrat,High
"Saint Helena, Ascension and Tristan da Cunha",High
Cura�ao,high
Sierra Leone,low 
Guinea,low 
Somalia,low 
Liberia,low 
Ethiopia,low 
Chad,low 
Afghanistan,low 
Mali,low 
South Sudan,low 
Central African Republic,low 
Burkina Faso,low 
Niger,low 
Uganda,low 
Haiti,low 
Nepal,low 
Malawi,low 
Zimbabwe,low 
"Congo, The Democratic Republic of the",low 
Burundi,low 
"Korea, Democratic People's Republic of",low 
Madagascar,low 
"Tanzania, United Republic of",low 
Rwanda,low 
Mozambique,low 
Eritrea,low 
Togo,low 
Cambodia,low 
Benin,low 
Guinea-Bissau,low 
Gambia,low 
Comoros,low 
Ethiopia | South Sudan | Uganda,low 
"Congo, Democratic Republic of the",low 
Afghanistan | Capital,low 
Afghanistan | Capital | Central Highland | Eastern | North Eastern | Northern | South Eastern | Southern | Western,low 
Côte d'Ivoire,lower middle
São Tomé and Príncipe,lower middle
Sudan,lower middle
Syrian Arab Republic,lower middle
Yemen,lower middle
Cameroon,lower middle
occupied Palestinian territory,lower middle
Egypt,lower middle
Ukraine,lower middle
Kenya,lower middle
India,lower middle
Pakistan,lower middle
Myanmar,lower middle
C�te d'Ivoire,lower middle
Nigeria,lower middle
Indonesia,lower middle
Mauritania,lower middle
Lesotho,lower middle
Georgia,lower middle
Morocco,lower middle
"Bolivia, Plurinational State of",lower middle
Papua New Guinea,lower middle
Vanuatu,lower middle
Solomon Islands,lower middle
Djibouti,lower middle
Nicaragua,lower middle
Tajikistan,lower middle
Timor-Leste,lower middle
Bangladesh,lower middle
Philippines,lower middle
Viet Nam,lower middle
Zambia,lower middle
Senegal,lower middle
El Salvador,lower middle
Honduras,lower middle
Guatemala,lower middle
Lao People's Democratic Republic,lower middle
Uzbekistan,lower middle
Armenia,lower middle
Kyrgyzstan,lower middle
Congo,lower middle
Sri Lanka,lower middle
"Micronesia, Federated States of",lower middle
Bhutan,lower middle
Cape Verde,lower middle
Ghana,lower middle
"Moldova, Republic of",lower middle
Gaza Strip | West Bank | occupied Palestinian territory,lower middle
Kiribati,lower middle
Guyana,lower middle
Samoa,lower middle
Bolivia,lower middle
"Congo, Republic of",lower middle
Kosovo,lower middle
Micronesia,lower middle
Sao Tome and Principe,lower middle
Swaziland,lower middle
Timor Leste,lower middle
"Palestinian territory, occupied",lower middle
Guatemala | Honduras,lower middle
S�o Tom� and Pr�ncipe,lower middle
Eswatini,lower middle
"North Macedonia, Republic of",upper middle
Iraq,upper middle
Lebanon,upper middle
Jordan,upper middle
Libya,upper middle
"Iran, Islamic Republic of",upper middle
Paraguay,upper middle
Turkey,upper middle
Algeria,upper middle
Serbia,upper middle
Colombia,upper middle
Fiji,upper middle
Dominica,upper middle
Tunisia,upper middle
Angola,upper middle
Thailand,upper middle
Mongolia,upper middle
Kazakhstan,upper middle
Albania,upper middle
Costa Rica,upper middle
Marshall Islands,upper middle
Azerbaijan,upper middle
Brazil,upper middle
Ecuador,upper middle
Cuba,upper middle
Peru,upper middle
Bosnia and Herzegovina,upper middle
Palau,upper middle
Panama,upper middle
Malaysia,upper middle
Belize,upper middle
South Africa,upper middle
Jamaica,upper middle
Dominican Republic,upper middle
China,upper middle
Tonga,upper middle
Saint Vincent and the Grenadines,upper middle
Namibia,upper middle
Bulgaria,upper middle
Maldives,upper middle
Jordan | Lebanon | Turkey,upper middle
Mexico,upper middle
Belarus,upper middle
Montenegro,upper middle
Jordan | Lebanon,upper middle
Cuba | Dominica,upper middle
Libya | Tunisia,upper middle
American Samoa,upper middle
Botswana,upper middle
Gabon,upper middle
Grenada,upper middle
Former Yugoslav Republic of Macedonia,upper middle
Mauritius,upper middle
Romania,upper middle
Saint Lucia,upper middle
Suriname,upper middle
Turkmenistan,upper middle
Tuvalu,upper middle
"Macedonia, The Former Yugoslav Republic of",upper middle
Serbia and Montenegro (until 2006-2009),upper middle
Angola | Zambia,no income group
"Anguilla (United Kingdom) | Antigua and Barbuda | Bahamas | Bonaire, Saint Eustatius and Saba (The Netherlands) | Virgin Islands, British | Cuba | Dominica | Dominican Republic | Guadeloupe (France) | Haiti | Martinique (France) | Montserrat | Puerto Rico (United States) | Saint Barthélemy (France) | Saint Kitts and Nevis | Saint Lucia | Saint Martin (France) | Sint Maarten (Dutch part) | Saint Vincent and the Grenadines | Turks and Caicos Islands | Barbados",no income group
"Anguilla (United Kingdom) | Antigua and Barbuda | Bahamas | Saint Barthélemy (France) | Saint Kitts and Nevis | Saint Martin (France) | Sint Maarten (Dutch part) | Turks and Caicos Islands | Virgin Islands, British",no income group
"Antigua and Barbuda | Saint Martin (France) | Bahamas | Anguilla (United Kingdom) | Turks and Caicos Islands | Virgin Islands, British | Saint Barthélemy (France) | Saint Kitts and Nevis | Sint Maarten (Dutch part)",no income group
Argentina | Aruba | Brazil | Chile | Colombia | Costa Rica | Curaçao | Dominican Republic | Ecuador | Guyana | Mexico | Panama | Paraguay | Peru | Trinidad and Tobago | Uruguay,no income group
Argentina | Aruba | Brazil | Chile | Colombia | Costa Rica | Curaçao | Ecuador | Dominican Republic | Guyana | Mexico | Panama | Peru | Trinidad and Tobago | Uruguay | Paraguay,no income group
Argentina | Aruba | Brazil | Chile | Colombia | Costa Rica | Curaçao | Panama | Ecuador | Peru | Dominican Republic | Trinidad and Tobago | Guyana | Uruguay | Mexico | Paraguay,no income group
Argentina | Aruba | Brazil | Colombia | Costa Rica | Dominican Republic | Ecuador | Guyana | Mexico | Panama | Paraguay | Peru,no income group
